Nome;Alg-Class;Alg-Class-Params;Tec-Desbal;Tec-Desbal-Params;Acuracia;Acuracia Balanceada;F1-Score;Macro F1-Score;AUC
CLF_57;AD;{'min_samples_leaf': 13, 'random_state': 42};smote;5;0.9046833683676038;0.7398449812759896;0.2909910555860994;0.6197518447709471;0.821250788434347
CLF_58;AD;{'min_samples_leaf': 13, 'random_state': 42};smote;10;0.9007249619715006;0.7136332046775564;0.27467390532964303;0.610437911989711;0.803537013076523
CLF_59;AD;{'min_samples_leaf': 13, 'random_state': 42};smote;15;0.9055638868030889;0.7534816320904267;0.3052880496998144;0.6271522646112462;0.8310912779841979
CLF_6;AD;{'min_samples_leaf': 1, 'random_state': 42};adasyn;5;0.9167081197031732;0.6735580788935602;0.26369452155824974;0.609624303892322;0.6735580788935602
CLF_60;AD;{'min_samples_leaf': 13, 'random_state': 42};adasyn;5;0.9014584225326658;0.7381785443517817;0.29773289270558256;0.6221052455842;0.832060919084706
CLF_61;AD;{'min_samples_leaf': 13, 'random_state': 42};adasyn;10;0.8992581484262547;0.7238600179199117;0.273886296769592;0.6096455983983764;0.8004345565552834
CLF_62;AD;{'min_samples_leaf': 13, 'random_state': 42};adasyn;15;0.8951516083849883;0.7063593286925357;0.25736985225640063;0.6002159634843658;0.81365350164057
CLF_63;AD;{'min_samples_leaf': 15, 'random_state': 42};-;-;0.9483826861137349;0.6240147494658488;0.28761098905225996;0.6302943689102699;0.7586422142369313
CLF_64;AD;{'min_samples_leaf': 15, 'random_state': 42};undersampling;-;0.8011418231733949;0.8093773405012981;0.22825311910642526;0.5559348495525612;0.8769012546026813
CLF_65;AD;{'min_samples_leaf': 15, 'random_state': 42};oversampling;-;0.9062957337079884;0.7209053001585223;0.2934838782745917;0.6214087573615172;0.7233182643166101
CLF_66;AD;{'min_samples_leaf': 15, 'random_state': 42};smote;5;0.9061494288732591;0.7493900912077561;0.30082084157916056;0.6250943542831741;0.8368300970975173
CLF_67;AD;{'min_samples_leaf': 15, 'random_state': 42};smote;10;0.8974987252115504;0.7229511567532796;0.27332643809205054;0.6087518146230666;0.813902346662573
CLF_68;AD;{'min_samples_leaf': 15, 'random_state': 42};smote;15;0.8991110905519349;0.7479506972683623;0.2888002639586786;0.6170442718850873;0.8297867872501289
CLF_69;AD;{'min_samples_leaf': 15, 'random_state': 42};adasyn;5;0.8988183733053919;0.7346177659843315;0.2929110088750716;0.6188845955908617;0.8324984635973074
CLF_7;AD;{'min_samples_leaf': 1, 'random_state': 42};adasyn;10;0.9148006704203897;0.6703757437912101;0.24438247778204847;0.5994640201662008;0.6703757437912101
CLF_70;AD;{'min_samples_leaf': 15, 'random_state': 42};adasyn;10;0.893687053958514;0.727572483745721;0.27016944385804365;0.6060704015328181;0.8270181178035786
CLF_71;AD;{'min_samples_leaf': 15, 'random_state': 42};adasyn;15;0.895005626281512;0.7260566430031934;0.2692965640081498;0.6061035081847053;0.8260521434449254
CLF_72;AD;{'min_samples_leaf': 17, 'random_state': 42};-;-;0.9598196362603624;0.6233329312840306;0.2978968657217683;0.6385912007026195;0.7657688605505046
CLF_73;AD;{'min_samples_leaf': 17, 'random_state': 42};undersampling;-;0.8226958602186396;0.8139226801755232;0.23297358419245998;0.5661372524311978;0.8833262087064038
CLF_74;AD;{'min_samples_leaf': 17, 'random_state': 42};oversampling;-;0.8996976008158646;0.7240870034691111;0.2842212980591925;0.6148577893910671;0.7269201652788133
CLF_75;AD;{'min_samples_leaf': 17, 'random_state': 42};smote;5;0.8958850689461533;0.7352989523743882;0.27728729355327825;0.6103611764506187;0.8170232204358007
CLF_76;AD;{'min_samples_leaf': 17, 'random_state': 42};smote;10;0.8992586863116767;0.7392392078480025;0.28829416170238237;0.61674371078982;0.8274669053377528
CLF_77;AD;{'min_samples_leaf': 17, 'random_state': 42};smote;15;0.8995514035582197;0.7525721965676476;0.29117645929204716;0.618380417508358;0.8483072353732375
CLF_78;AD;{'min_samples_leaf': 17, 'random_state': 42};adasyn;5;0.8954462620190498;0.7416632205297862;0.29030324430434024;0.616614936051548;0.8443352180047077
CLF_79;AD;{'min_samples_leaf': 17, 'random_state': 42};adasyn;10;0.9004309537999454;0.7332539573138511;0.27734204680769564;0.6117253080293071;0.8437187889648431
CLF_8;AD;{'min_samples_leaf': 1, 'random_state': 42};adasyn;15;0.9099624986283923;0.6810574471017989;0.25732967285266717;0.6045043098364209;0.6810574471017988
CLF_80;AD;{'min_samples_leaf': 17, 'random_state': 42};adasyn;15;0.8922209934528587;0.7399967261699635;0.28115254622172964;0.6110930065317695;0.8271318298777979
CLF_81;AD;{'min_samples_leaf': 19, 'random_state': 42};-;-;0.9586466157325031;0.6073480827991821;0.2576223356894744;0.618155965223661;0.7612640090685614
